N,P,K,temperature,humidity,ph,rainfall,moisture_index,P_to_K,ph_dev,label
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,9.719701175628032,0.9767441633315311,0.002985292000000861,rice
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,9.809500562030705,1.4146341118381924,0.538096361,rice
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,9.986483046016998,1.2499999715909098,1.3402071439999999,rice
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,9.87655733380921,0.8749999781250006,0.48040090499999977,rice
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,9.973014322845263,0.9999999761904769,1.1284728910000004,rice
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,9.949009758337803,0.8809523599773248,0.5734535029999996,rice
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,10.017848180689425,1.44736838296399,0.7991943199999998,rice
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,9.906444664357851,1.324999966875001,0.7813728220000007,rice
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,9.865337826066035,1.4210525941828265,0.18534642399999957,rice
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,9.818404134898277,1.5263157493074804,0.16374647499999995,rice
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,9.97791257193056,1.324999966875001,1.1138322120000002,rice
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,9.921839786264428,1.0952380691609984,1.0028339600000002,rice
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,10.043604584091291,1.3181817882231412,1.391318214,rice
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,9.62933217046108,1.5555555123456803,0.48435366,rice
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,9.735488461929267,1.351351314828343,0.4480198299999998,rice
60,48,39,24.28209415,80.30025587,7.042299068999999,231.0863347,9.828618079986049,1.2307691992110463,0.5422990689999994,rice
85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,10.03910339349635,0.9268292456870916,0.25094934399999946,rice
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,9.716443806969744,0.8974358744247213,0.47085975400000013,rice
77,38,36,21.8652524,80.1923008,5.953933276,224.55501690000003,9.798603782183523,1.0555555262345688,0.5460667240000001,rice
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618000001,10.100285360278267,0.8749999781250006,0.6460679200000001,rice
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,9.611051891057702,1.249999965277779,0.05752462500000011,rice
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,9.864382905408318,0.9302325365062202,1.429824333,rice
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,9.75714660855663,1.4390243551457476,0.487367409,rice
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,9.86651027991688,0.9534883499188757,0.24597154900000007,rice
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,9.810507883821053,1.2702702359386424,0.8754828510000001,rice
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,9.937693456104512,1.2926828953004172,1.2789151539999999,rice
97,59,43,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,10.034825989152111,1.3720929913466746,0.21349982399999945,rice
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,9.950557764925,1.219512165377752,0.5709599949999999,rice
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,9.91775076443703,1.113636338326447,0.25515850900000014,rice
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,9.678270657923406,1.4571428155102053,0.4566951010000002,rice
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,10.048576044745634,1.3902438685306375,0.6752908829999997,rice
92,35,40,22.17931888,80.33127223,6.3573893660000005,200.0882787,9.68497986313239,0.8749999781250006,0.14261063399999951,rice
85,37,39,24.52783742,82.73685569,6.364134967999999,224.67572310000003,9.83037708389645,0.9487179243918481,0.13586503200000077,rice
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,10.002408444411495,1.3947368054016631,1.4854927299999998,rice
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,9.881075485223633,1.227272699380166,0.3505893889999996,rice
